data_name,ctype,cdepth,n_held_mean,pcc_all_mean,pcc_all_std,pcc_obs_mean,pcc_obs_std,pcc_held_mean,pcc_held_std,mae_all_mean,mae_all_std,mae_obs_mean,mae_obs_std,mae_held_mean,mae_held_std,scc_all_mean,scc_all_std,scc_obs_mean,scc_obs_std,scc_held_mean,scc_held_std
K562_T1_1k,T1,1k,949.86,0.8667256788996742,0.0011802904966066857,0.9316245315136179,0.003635939171088733,0.8728764267740761,0.008089313553996159,0.4687499145587679,0.0013708496221352831,0.4798284811634237,0.004183082302707817,0.5280193289943075,0.003384301425688148,0.9024887616407881,0.0021130272401149435,0.8983301088583794,0.007318349340375223,0.832157347152716,0.008102922944130078
K562_T1_2k,T1,2k,441.34,0.9728032569916604,0.0003915034245311379,0.9793979220401112,0.0005618449519210734,0.943137757475926,0.008056952964832097,0.2117850598931679,0.0013089002941167314,0.2215404463552137,0.0021799838273818097,0.23077109544102065,0.005518927865636142,0.967155821203191,0.000655960365715103,0.9622401418329276,0.0015268141520033865,0.9208317060238405,0.007298980610689052
K562_T1_4k,T1,4k,152.84,0.9896335706830987,0.00022801636400966268,0.9885423751643594,0.00018086567126811132,0.9513253480906336,0.010977352665230106,0.38295434576719634,0.0029895211809593024,0.42887690612561014,0.0038171326795444042,0.22606532756154332,0.015672821949777285,0.9837037449968203,0.00024854218095799857,0.9795614296841021,0.0004652673807690425,0.9408739131054655,0.010333188826320094
K562_T1_7k,T1,7k,93.87,0.9912727511170523,0.00020473366504415627,0.9904560431907306,0.00013669918059440274,0.9499421783833171,0.014311078574152609,0.5412260695541675,0.00312370157049637,0.5987280033752885,0.00425923544550145,0.3269450703592489,0.024459757581231194,0.9868658914207167,0.00016020424986391317,0.9833260576215573,0.0003385579288311225,0.9436095672579325,0.012586249009311254
K562_T2_1k,T2,1k,948.85,0.8928731527884872,0.0011019953108841604,0.96252084231328,0.0018136465254844306,0.8930812409438939,0.008969186352057613,0.4721974726931987,0.0013935259966963032,0.4793745871925179,0.003505869623951571,0.5358420370076656,0.002997259784353117,0.9169192195331867,0.002065488262254195,0.9118595436264708,0.005883003348545724,0.8581108886151766,0.007025218777848731
K562_T2_2k,T2,2k,518.16,0.9763075463973666,0.0003168868777086832,0.9840974287182414,0.00047510438606673464,0.9489997511696813,0.005287276657062152,0.2481695836449045,0.0012989074643616906,0.25357965672703947,0.0023652784806928217,0.2886626098735485,0.004343177205247451,0.9698360714278005,0.0005491218485220749,0.964343284141481,0.0015143369770660637,0.93506417214499,0.006141968028373737
K562_T2_4k,T2,4k,208.91,0.9915237533938349,0.00019411816084733243,0.9912516881597939,0.00019054527715896215,0.9649430692497323,0.006123609952053209,0.3106007301461794,0.0022452974896853754,0.3521989667096858,0.003274218366633313,0.1896799001767826,0.00962899143110832,0.986323619980605,0.00023028558843286685,0.9825135730099334,0.0004860644884142111,0.9595335818018828,0.006280640037830766
K562_T2_7k,T2,7k,72.05,0.9941817091735858,0.00015987723965645684,0.9943958771632809,9.68823480857316e-05,0.9678280934571597,0.007845802029202908,0.6807749655881241,0.0036272808523371046,0.7532492989732937,0.004368561195205464,0.3534173563291659,0.028066962372816886,0.9914678932994688,0.00012813884045360718,0.9889837732051433,0.0002284515670503304,0.9584085696679635,0.013660951551349627
K562_T3_1k,T3,1k,970.93,0.8854897817804869,0.0011511723475559716,0.9594526814052113,0.0019493050112345648,0.875528855922996,0.010760368012770158,0.4770522854884762,0.0016100996617469433,0.4830314083884252,0.003862519962893325,0.5407852191131509,0.0031851744477371467,0.9036045483908449,0.002224017531410813,0.9032860250097474,0.007231225859815939,0.8321614751406915,0.007987023916188803
K562_T3_2k,T3,2k,531.64,0.9768214529009256,0.00027447828653494604,0.9845701349925777,0.0004044341345370403,0.9448417910702156,0.007351180376862765,0.2524148731042364,0.0012833686526106554,0.25686827047197414,0.002700308580227512,0.2956361002137344,0.005125139922945103,0.9639438388242548,0.0007063074346346879,0.9608811417569472,0.0017605921014279997,0.9139436765435488,0.008474457200635215
K562_T3_4k,T3,4k,226.89,0.9919692499769124,0.00017137023209278911,0.9918689489082654,0.00015649956673430173,0.9644343019063235,0.0051547405056317315,0.27990131552806896,0.0021426579652455407,0.31758036959298314,0.0029407440330070167,0.17725083063897087,0.00805599996184954,0.9825762222577413,0.00028604153048487365,0.9792018157712762,0.0006834804851799161,0.9449750412024736,0.008976105125007518
K562_T3_7k,T3,7k,77.37,0.9945870182125366,0.00014138708587580162,0.9948685880959813,9.017122346816719e-05,0.9715843092164085,0.0072283858234802895,0.6442694052093821,0.004310778351273833,0.7129447289719973,0.00545411099836988,0.35766341419550385,0.028522603759168152,0.989282975273035,0.000139578801493408,0.9863887944516176,0.00029934263186327846,0.9608383826429464,0.008811261258515028
